Title,Author(s),Description,Platform/Media Type,Topic
Artificial Intelligence: A Guide for Thinking Humans,Melanie Mitchell,"Melanie Mitchell, a renowned AI researcher, presents a thought-provoking exploration of AI, offering insights into its history, challenges, and the misconceptions that often surround it. The book is accessible to both technical and non-technical readers.",Book,
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,Physicist and AI researcher Max Tegmark delves into the ethical and existential questions posed by the rise of advanced artificial intelligence. The book explores scenarios that could unfold and their implications for humanity.,Book,
Human Compatible: Artificial Intelligence and the Problem of Control,Stuart Russell,"AI pioneer Stuart Russell addresses the challenge of aligning AI systems with human values to ensure safe and beneficial outcomes. The book explores the concept of ""provably beneficial AI"" and the need for a framework that allows control over AI systems.",Book,
Machine Learning by Andrew Ng,Andrew Ng and Coursera,"Created by Stanford University and led by machine learning expert Andrew Ng, this course is a foundational resource covering key machine learning concepts, algorithms, and practical applications. It's suitable for beginners and those looking to deepen their understanding.",Online course,Machine Learning Algorithms
Introduction to Artificial Intelligence (AI),edX,"This course provides a broad introduction to the fundamental concepts of artificial intelligence. It covers topics such as problem-solving, learning, and rational agents, offering learners a solid foundation in AI principles.",Online course,
Practical Deep Learning for Coders,Fast.ai,"Fast.ai's course is designed for those interested in hands-on experience with deep learning. It focuses on practical applications, enabling participants to develop coding skills while gaining insights into deep learning techniques.",Online course,Deep Learning
A Few Useful Things to Know About Machine Learning,Pedro Domingos,"Pedro Domingos shares practical insights and tips for practitioners involved in machine learning. The paper covers a range of considerations, from the importance of feature engineering to the impact of data quality on model performance.",Academic paper or report,Machine Learning Algorithms
Playing Atari with Deep Reinforcement Learning,Volodymyr Mnih et al.,This groundbreaking paper introduces the application of deep reinforcement learning to playing Atari games. It showcases the potential of deep neural networks in learning and decision-making within a gaming environment.,Academic paper or report,Deep Learning
Attention is All You Need,Ashish Vaswani et al.,"This influential paper introduces the Transformer model, a neural network architecture that revolutionized natural language processing tasks. The attention mechanism in Transformers has become a cornerstone in various AI applications.",Academic paper or report,Transformer Models
"Artificial Intelligence as Structural Estimation: Economic Interpretations of Deep Blue, Bonanza, and AlphaGo","Ajay Agrawal, Joshua Gans, and Avi Goldfarb","This article explores the economic implications of Artificial Intelligence by examining the cases of Deep Blue, Bonanza, and AlphaGo.",Academic paper or report,Economic Impact of AI
Artificial Intelligence — The Revolution Hasn’t Happened Yet,Michael Jordan,A thought-provoking piece by Michael Jordan discussing the current state of AI and arguing that the real impact of AI is yet to be fully realized.,Academic paper or report,
"The Malicious Use of Artificial Intelligence: Forecasting, Prevention, and Mitigation","Brundage, et al.","This article delves into the potential malicious uses of AI and proposes strategies for forecasting, preventing, and mitigating these risks.",Academic paper or report,AI Ethics
Artificial Intelligence: The Revolution,Tim Dutton and Michael Osborne,"Published in Science, this article discusses the impact of AI on the job market and the types of jobs that are most susceptible to automation.",Academic paper or report,AI and Jobs
Ethics of Artificial Intelligence and Robotics,Vincent C. Müller,"This article explores the ethical considerations surrounding AI and robotics, covering topics such as accountability, transparency, and bias.",Academic paper or report,AI Ethics
Concrete Problems in AI Safety,"Dario Amodei, et al.",An exploration of potential risks and safety concerns in the development and deployment of artificial intelligence systems.,Academic paper or report,AI Ethics
Machine Learning: The High-Interest Credit Card of Technical Debt,"D. Sculley, et al.",This article addresses the technical debt associated with machine learning systems and provides insights into managing and mitigating these challenges.,Academic paper or report,Technical Debt
OpenAI Blog,OpenAI,"The OpenAI Blog serves as a platform for sharing research, updates, and insights from OpenAI's team of researchers and engineers. It provides a valuable resource for staying informed about the latest developments in artificial intelligence.",Website or blog,
Towards Data Science,Medium,Towards Data Science is a popular Medium publication offering a diverse collection of articles and tutorials on data science and artificial intelligence. It caters to both beginners and experienced practitioners.,Website or blog,
Distill.pub,Distill,"Distill.pub stands out as a platform offering interactive and visual explanations of complex AI concepts. It aims to enhance understanding through visually engaging content, making it a valuable resource for learners seeking intuitive explanations.",Website or blog,
Talking Machines,"Katherine Gorman, Neil Lawrence, Ryan Adams","Talking Machines is a podcast that explores the world of machine learning and AI. It features discussions with experts, researchers, and practitioners, providing listeners with valuable insights into current trends and challenges in the field.",Podcast,
How We're Teaching Computers to Understand Pictures,Fei-Fei Li,Fei-Fei Li's TED Talk explores the intersection of computer vision and artificial intelligence. She discusses the challenges and opportunities in teaching computers to understand and interpret visual information.,Video,
What Artificial Intelligence Can and Can't Do Right Now,Gary Marcus,"Gary Marcus explores the current capabilities and limitations of artificial intelligence, providing insights into what AI can and cannot achieve in the present moment. The talk addresses common misconceptions and challenges in AI development.",Video,
The Dawn of Artificial Intelligence,Sebastian Thrun,"Sebastian Thrun discusses the current state and future potential of artificial intelligence. The talk explores key breakthroughs, applications, and the transformative impact of AI on various industries, offering a glimpse into the dawn of this technological era.",Video,
The Future of Artificial Intelligence,Nick Bostrom,"Nick Bostrom delves into the potential future developments and impacts of artificial intelligence. The talk explores ethical considerations, risks, and the societal implications of advancing AI technologies, providing a thought-provoking perspective on the future landscape.",Video,
AI and the Future of Work,Kai-Fu Lee,"Kai-Fu Lee examines the intersection of artificial intelligence and the future of work. The talk explores how AI is shaping the job market, the types of jobs that may be affected, and the potential for new opportunities and challenges in the evolving landscape of work.",Video,AI and Jobs
The Ethics and Governance of AI,Timnit Gebru,"Timnit Gebru delves into the ethical considerations and governance challenges associated with artificial intelligence. The talk explores issues of bias, transparency, and accountability, emphasizing the importance of responsible AI development and deployment.",Video,AI Ethics
AI and the Impact on Society,Andrew Ng,"Andrew Ng discusses the broader societal impacts of artificial intelligence. The talk explores how AI is influencing various aspects of our lives, from education to healthcare, and highlights the potential benefits and challenges that come with the widespread adoption of AI technologies.",Video,Social Implications of AI
The Quest for Artificial General Intelligence,Ben Goertzel,"Ben Goertzel explores the ongoing quest for achieving artificial general intelligence (AGI). The talk discusses the challenges, milestones, and potential implications of developing AI systems that possess human-like cognitive abilities, aiming to go beyond narrow, task-specific AI.",Video,
Crash Course on Artificial Intelligence,Jeff Dean,"Jeff Dean provides a crash course on key concepts and developments in artificial intelligence. The talk covers a range of topics, offering a comprehensive overview of AI technologies, their applications, and the impact they have on various industries.",Video,
AI for Humanity - Google AI Blog,Google,"The AI for Humanity initiative, featured on the Google AI Blog, showcases projects and initiatives where AI is applied for positive social impact. It provides inspiring examples of how AI can contribute to solving real-world challenges.",Online article,AI for Social Good
Data Science for Social Good,Data Science for Social Good,Data Science for Social Good is a program and platform focused on applying data science and AI techniques to address societal challenges. It highlights the potential of AI in making a positive difference in communities.,Website or blog,AI for Social Good
Pattern Recognition and Machine Learning,Christopher M. Bishop,"Christopher M. Bishop provides a comprehensive introduction to the fields of pattern recognition and machine learning, exploring the fundamental concepts, techniques, and algorithms that underpin these domains.",Book,Machine Learning Algorithms
